Submission Results (TPR, FPR):
vol168_t4.2934731674194335.nii.gz: TPR=0.0035, FPR=0.0000
vol162_t4.140134840011596.nii.gz: TPR=0.0087, FPR=0.0000
vol197_t5.034608416557312.nii.gz: TPR=0.0052, FPR=0.0000
vol105_t2.6834207296371457.nii.gz: TPR=0.0157, FPR=0.0000
vol134_t3.4245559787750244.nii.gz: TPR=0.0192, FPR=0.0001
vol075_t1.9167290925979614.nii.gz: TPR=0.0192, FPR=0.0001
vol152_t3.884570960998535.nii.gz: TPR=0.0244, FPR=0.0001
vol128_t3.2712176513671873.nii.gz: TPR=0.0279, FPR=0.0002
vol121_t3.092322936058044.nii.gz: TPR=0.0314, FPR=0.0002
vol165_t4.216804003715515.nii.gz: TPR=0.0348, FPR=0.0003
vol135_t3.4501123666763305.nii.gz: TPR=0.0383, FPR=0.0003
vol041_t1.0478119039535523.nii.gz: TPR=0.0401, FPR=0.0004
vol073_t1.865616316795349.nii.gz: TPR=0.0453, FPR=0.0004
vol182_t4.65126259803772.nii.gz: TPR=0.0470, FPR=0.0005
vol032_t0.8178044128417968.nii.gz: TPR=0.0488, FPR=0.0006
vol175_t4.472367882728577.nii.gz: TPR=0.0505, FPR=0.0007
vol014_t0.3577894306182861.nii.gz: TPR=0.0523, FPR=0.0009
vol064_t1.6356088256835937.nii.gz: TPR=0.0540, FPR=0.0010
vol074_t1.891172704696655.nii.gz: TPR=0.0540, FPR=0.0012
vol166_t4.242360391616821.nii.gz: TPR=0.0557, FPR=0.0014
vol046_t1.175593843460083.nii.gz: TPR=0.0557, FPR=0.0016
vol000_t0.0.nii.gz: TPR=0.0557, FPR=0.0018
vol188_t4.804600925445556.nii.gz: TPR=0.0557, FPR=0.0020
vol120_t3.066766548156738.nii.gz: TPR=0.0557, FPR=0.0023
vol031_t0.7922480249404907.nii.gz: TPR=0.0575, FPR=0.0025
vol147_t3.756789021492004.nii.gz: TPR=0.0592, FPR=0.0028
vol160_t4.089022064208984.nii.gz: TPR=0.0627, FPR=0.0031
vol065_t1.6611652135848998.nii.gz: TPR=0.0627, FPR=0.0035
vol108_t2.7600898933410645.nii.gz: TPR=0.0645, FPR=0.0038
vol111_t2.8367590570449828.nii.gz: TPR=0.0679, FPR=0.0042
vol185_t4.727931761741638.nii.gz: TPR=0.0697, FPR=0.0046
vol186_t4.753488149642944.nii.gz: TPR=0.0732, FPR=0.0049
vol127_t3.2456612634658812.nii.gz: TPR=0.0767, FPR=0.0053
vol048_t1.2267066192626952.nii.gz: TPR=0.0871, FPR=0.0056
vol050_t1.2778193950653076.nii.gz: TPR=0.0889, FPR=0.0059
vol179_t4.574593434333801.nii.gz: TPR=0.0923, FPR=0.0064
vol011_t0.28112026691436764.nii.gz: TPR=0.0941, FPR=0.0069
vol017_t0.43445859432220457.nii.gz: TPR=0.1010, FPR=0.0073
vol126_t3.220104875564575.nii.gz: TPR=0.1045, FPR=0.0078
vol038_t0.9711427402496338.nii.gz: TPR=0.1132, FPR=0.0083
vol045_t1.150037455558777.nii.gz: TPR=0.1185, FPR=0.0087
vol054_t1.3800449466705322.nii.gz: TPR=0.1237, FPR=0.0092
vol082_t2.0956238079071046.nii.gz: TPR=0.1324, FPR=0.0097
vol101_t2.5811951780319213.nii.gz: TPR=0.1394, FPR=0.0103
vol053_t1.354488558769226.nii.gz: TPR=0.1463, FPR=0.0110
vol087_t2.223405747413635.nii.gz: TPR=0.1585, FPR=0.0116
vol114_t2.913428220748901.nii.gz: TPR=0.1707, FPR=0.0121
vol103_t2.6323079538345335.nii.gz: TPR=0.1899, FPR=0.0128
vol068_t1.7378343772888183.nii.gz: TPR=0.2056, FPR=0.0135
vol138_t3.5267815303802488.nii.gz: TPR=0.2195, FPR=0.0141
vol067_t1.7122779893875122.nii.gz: TPR=0.2317, FPR=0.0150
vol098_t2.5045260143280026.nii.gz: TPR=0.2334, FPR=0.0158
vol144_t3.680119857788086.nii.gz: TPR=0.2369, FPR=0.0168
vol066_t1.6867216014862059.nii.gz: TPR=0.2491, FPR=0.0177
vol069_t1.7633907651901244.nii.gz: TPR=0.2544, FPR=0.0187
vol157_t4.012352900505066.nii.gz: TPR=0.2683, FPR=0.0199
vol016_t0.4089022064208984.nii.gz: TPR=0.2875, FPR=0.0213
